,Daily_Pickup_Totes,Weekly_Dropoff_Totes
0,0,0
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,3,2
18,1,1
19,1,1
20,1,1
21,2,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,2,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,2,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,2,1
45,1,1
46,1,1
47,1,1
48,1,1
49,2,2
50,1,1
51,1,1
52,1,1
53,1,1
54,2,1
55,1,1
56,1,1
57,8,6
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,2,1
64,1,1
65,1,1
66,2,2
67,1,1
68,2,2
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,2,1
77,1,1
78,2,1
79,1,1
80,1,1
81,2,2
82,2,1
83,1,1
84,1,1
85,2,2
86,1,1
87,1,1
88,1,1
89,1,1
90,2,1
91,2,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,2,1
98,2,1
99,1,1
100,2,1
101,1,1
102,1,1
103,1,1
104,2,1
105,1,1
106,2,1
107,1,1
108,1,1
109,1,1
110,2,2
111,11,8
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,3,3
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,2,2
125,8,6
126,2,1
127,2,1
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,2,1
136,1,1
137,1,1
138,1,1
139,2,1
140,2,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,3,2
150,1,1
151,1,1
152,1,1
153,1,1
154,2,2
155,2,2
156,1,1
157,2,1
158,1,1
159,1,1
160,1,1
161,5,4
162,2,1
163,1,1
164,1,1
165,2,1
166,2,1
167,1,1
168,1,1
169,1,1
170,2,1
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,0
177,1,0
178,1,0
179,1,0
180,1,0
181,1,0
182,1,0
183,1,0
184,1,0
185,1,0
186,1,0
187,1,0
188,1,0
189,1,0
190,1,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
211,1,0
212,1,0
213,1,0
214,1,0
215,1,0
216,1,0
217,1,0
218,1,0
219,1,0
220,1,0
221,1,0
222,1,0
223,1,0
224,1,0
225,1,0
226,1,0
227,1,0
228,1,0
229,1,0
230,1,0
231,1,0
232,1,0
233,1,0
234,1,0
235,1,0
236,1,0
237,1,0
238,1,0
239,1,0
240,1,0
241,1,0
242,1,0
243,1,0
244,1,0
245,1,0
246,1,0
247,1,0
248,1,0
249,1,0
250,1,0
251,1,0
252,1,0
253,1,0
254,1,0
255,1,0
